StudyHours,Attendance,PerformanceIndex,PreviousScore,AssignmentsCompleted,SleepHours,FinalResult
2,65,69,45,3,5,0
3,70,76,50,4,6,0
4,75,83,55,5,6,0
5,80,90,60,6,7,1
6,85,97,65,7,7,1
7,90,104,70,8,8,1
8,92,108,75,9,8,1
1,60,62,40,2,5,0
2.5,68,73,48,3,6,0
3.5,72,79,52,4,6,0
4.5,78,87,58,5,7,1
5.5,82,93,63,6,7,1
6.5,88,101,68,7,8,1
7.5,93,108,74,8,8,1
8.5,95,112,80,9,8,1
1.5,62,65,42,2,5,0
2.2,67,71.4,47,3,6,0
3.8,74,81.6,53,4,6,0
4.8,79,88.6,59,5,7,1
5.8,83,94.6,64,6,7,1
6.8,89,102.6,69,7,8,1
7.8,94,109.6,76,8,8,1
2.1,66,70.2,46,3,5,0
3.2,71,77.4,51,4,6,0
4.2,76,84.4,56,5,6,1
5.2,81,91.4,61,6,7,1
6.2,87,99.4,66,7,7,1
7.2,91,105.4,72,8,8,1
8.2,96,112.4,78,9,8,1
1.8,63,66.6,44,2,5,0
